Image,Refined Caption
dog.4001.jpg,a black and white dog and a brown and white dog 
dog.4002.jpg,a person holding a small dog in their arms 
dog.4003.jpg,a small white dog wearing a white collar 
dog.4004.jpg,a small brown dog sitting on a leash 
dog.4005.jpg,a black and white dog standing on a tile floor 
dog.4006.jpg,a large brown and white dog standing in the snow 
dog.4007.jpg,a black dog with a red collar standing on a sidewalk 
dog.4008.jpg,a brown and white dog standing next to a fence 
dog.4009.jpg,a small brown dog standing on a grassy field 
dog.4010.jpg,a woman holding a black and white dog 
dog.4011.jpg,a brown dog with a leash sticking out of its mouth 
dog.4012.jpg,a black and white dog standing next to a fence 
dog.4013.jpg,a black bear standing in front of a fence 
dog.4014.jpg,a brown dog sitting on the floor with its mouth open 
dog.4015.jpg,a brown and white dog sitting on a brown leather chair 
dog.4016.jpg,a small dog is sniffing a person's hand 
dog.4017.jpg,a dog laying on a rug next to a stuffed animal 
dog.4018.jpg,a dog and a cat sitting on a blanket 
dog.4019.jpg,a white dog standing in the grass with a frisbee 
dog.4020.jpg,a brown and white dog laying on a tile floor 
dog.4021.jpg,a brown dog standing in the grass next to a hose 
dog.4022.jpg,a black and white dog standing next to a person 
dog.4023.jpg,a brown and white dog standing next to a person 
dog.4024.jpg,a dog that is laying down on a carpet 
dog.4025.jpg,a brown and white dog sitting on the ground 
dog.4026.jpg,a person holding a dog in their lap 
dog.4027.jpg,a black and white dog standing next to a person holding a leash 
dog.4028.jpg,a dog that is laying down on a bed 
dog.4029.jpg,a black dog laying on the ground 
dog.4030.jpg,a brown dog sitting on top of a blue bench 
dog.4031.jpg,a black and white dog wearing a leash 
dog.4032.jpg,a brown dog sitting on the ground 
dog.4033.jpg,a dog standing next to a black and white dog 
dog.4034.jpg,a white dog laying on the floor next to a person 
dog.4035.jpg,a small brown and white dog standing in the grass 
dog.4036.jpg,a brown and white dog sitting on the sidewalk 
dog.4037.jpg,a black and brown dog standing on a sidewalk 
dog.4038.jpg,a black dog sitting on a wooden bench 
dog.4039.jpg,a brown dog standing on top of a grass covered field 
dog.4040.jpg,a brown and white dog standing on a grassy area 
dog.4041.jpg,a brown dog standing next to a wooden bench 
dog.4042.jpg,a dog sitting on a fence looking at the camera 
dog.4043.jpg,a dog laying on top of a bed 
dog.4044.jpg,a dog sitting on the floor next to a pile of junk 
dog.4045.jpg,a black dog standing in a yard with a toy in its mouth 
dog.4046.jpg,a brown and white dog sitting on a railing 
dog.4047.jpg,a dog is standing on the side of the road 
dog.4048.jpg,a black and white dog laying on top of a couch 
dog.4049.jpg,a brown dog standing next to a chain link fence 
dog.4050.jpg,a brown and white dog wearing a bow tie 
