Image,Refined Caption
cat.4001.jpg,a white cat sitting on the floor next to a door 
cat.4002.jpg,a man holding a cat in his arms 
cat.4003.jpg,a gray and white cat sitting on top of a carpet 
cat.4004.jpg,a cat that is laying down on the floor 
cat.4005.jpg,a cat that is laying down on the floor 
cat.4006.jpg,a black and white cat and a brown and white cat 
cat.4007.jpg,a black and white cat sitting on top of a rack 
cat.4008.jpg,a cat is sitting in a cage in a cage 
cat.4009.jpg,a gray and white cat laying on a table 
cat.4010.jpg,a black and white cat sitting on top of a rug 
cat.4011.jpg,a cat that is laying down on a chair 
cat.4012.jpg,a cat that is laying down on a blanket 
cat.4013.jpg,a cat sitting on the floor next to a wall 
cat.4014.jpg,a black cat sitting on top of a bed 
cat.4015.jpg,a cat is laying in a blue cage 
cat.4016.jpg,a cat that is laying down on a blanket 
cat.4017.jpg,a cat sitting on a fence looking at the camera 
cat.4018.jpg,a white cat sitting on the floor next to a table 
cat.4019.jpg,a cat that is laying down on a bed 
cat.4020.jpg,a black and white kitten sitting on a blue surface 
cat.4021.jpg,a cat laying on a blanket on a bed 
cat.4022.jpg,a black and white cat laying on the floor next to a bag 
cat.4023.jpg,a black and white cat laying on a blanket 
cat.4024.jpg,a black cat sitting in a bathroom next to a bowl 
cat.4025.jpg,a person holding a cat in their hand 
cat.4026.jpg,a small black kitten sitting on a wooden floor 
cat.4027.jpg,a cat sitting on top of a wooden table 
cat.4028.jpg,a cat sitting on the floor next to a person 
cat.4029.jpg,an orange and white cat laying on a bed 
cat.4030.jpg,a black cat standing next to a person on the floor 
cat.4031.jpg,a cat that is laying down on a couch 
cat.4032.jpg,a gray and white cat sitting on the ground 
cat.4033.jpg,a cat standing on top of a bed in a room 
cat.4034.jpg,a cat sitting on top of a sink 
cat.4035.jpg,a cat laying in a blue and white bath tub 
cat.4036.jpg,a cat sitting on top of a blanket in a cage 
cat.4037.jpg,a cat is playing with a person's hand 
cat.4038.jpg,a white cat sitting on the floor next to a window 
cat.4039.jpg,a person holding a cat in their arms 
cat.4040.jpg,a gray and white cat sitting on top of a wooden table 
cat.4041.jpg,a gray and white cat sitting on a blanket 
cat.4042.jpg,a gray and white cat sitting on top of a wooden chair 
cat.4043.jpg,a gray cat sitting on top of a window sill 
cat.4044.jpg,a cat that is standing on a blanket 
cat.4045.jpg,a cat sitting on top of a bed 
cat.4046.jpg,a white cat sitting on top of a microwave 
cat.4047.jpg,a cat laying on top of a person's arm 
cat.4048.jpg,a gray and white cat sitting on a blue blanket 
cat.4049.jpg,a black and white cat and a gray and white cat in a cage 
cat.4050.jpg,two cats laying on a bed with stuffed animals 
cat.4051.jpg,a cat that is standing on a carpet 
cat.4052.jpg,an orange and white cat laying on top of a counter 
cat.4053.jpg,a black cat standing next to a person's hand 
cat.4054.jpg,a cat that is laying down on a red blanket 
cat.4055.jpg,a cat standing on top of a green plant 
cat.4056.jpg,a black and white cat laying on the floor 
cat.4057.jpg,a cat sitting on the floor next to a rug 
cat.4058.jpg,a black and white cat sleeping on a piece of paper 
cat.4059.jpg,a cat laying on top of a wooden table 
cat.4060.jpg,a cat that is sitting on the ground 
cat.4061.jpg,a gray and white cat is looking at the camera 
cat.4062.jpg,a black and white cat sitting on top of a bed 
cat.4063.jpg,a cat laying on top of a bed 
cat.4064.jpg,a cat laying on a person's lap 
cat.4065.jpg,a cat sitting on top of a bed 
cat.4066.jpg,a cat is laying down with a stuffed animal 
cat.4067.jpg,a gray and white cat sitting in a room 
cat.4068.jpg,a cat laying on top of a blanket next to a red blanket 
cat.4069.jpg,a black and white cat sitting in a cage 
cat.4070.jpg,a black and white cat standing in front of a refrigerator 
cat.4071.jpg,a cat sitting on the floor next to a bowl of food 
cat.4072.jpg,a white and black cat laying on top of a bed 
cat.4073.jpg,a white cat sitting on top of a red carpet 
cat.4074.jpg,a black cat laying on a white surface 
cat.4075.jpg,a cat and a cat laying on a window ledge 
cat.4076.jpg,a black and white cat playing with a toy in a cage 
cat.4077.jpg,a black and white cat sitting on top of a table 
cat.4078.jpg,a gray and white cat sitting on a blue surface 
cat.4079.jpg,a black cat laying on top of a bed 
cat.4080.jpg,a cat that is standing in a cage 
cat.4081.jpg,a gray cat standing on a tile floor 
cat.4082.jpg,a cat that is laying down on a bed 
cat.4083.jpg,a cat that is laying down on a blanket 
cat.4084.jpg,a person petting a cat in a cage 
cat.4085.jpg,a brown and white dog standing in front of a fence 
cat.4086.jpg,a person petting a cat on a person's arm 
cat.4087.jpg,a black cat laying on a person's lap 
cat.4088.jpg,a gray and white cat sitting on top of a blanket 
cat.4089.jpg,a cat sitting on top of a couch 
cat.4090.jpg,a black cat laying on the floor next to a door 
cat.4091.jpg,a gray and white cat standing on a tile floor 
cat.4092.jpg,a cat sitting on top of a metal cage 
cat.4093.jpg,a cat that is looking at the camera 
cat.4094.jpg,a gray and white cat sitting on top of a table 
